EER = 0.280514 for C = 3.000000e+01, gamma = 3.000000e-11 
EER = 0.275422 for C = 3.000000e+01, gamma = 5.000000e-11 
EER = 0.259709 for C = 3.000000e+01, gamma = 7.000000e-11 
EER = 0.249209 for C = 3.000000e+01, gamma = 9.000000e-11 
EER = 0.152980 for C = 5.000000e+01, gamma = 1.000000e-06 
EER = 0.209902 for C = 5.000000e+01, gamma = 3.000000e-06 
EER = 0.322898 for C = 5.000000e+01, gamma = 5.000000e-06 
EER = 0.409428 for C = 5.000000e+01, gamma = 7.000000e-06 
EER = 0.458495 for C = 5.000000e+01, gamma = 9.000000e-06 
EER = 0.119592 for C = 5.000000e+01, gamma = 1.000000e-07 
EER = 0.102884 for C = 5.000000e+01, gamma = 3.000000e-07 
EER = 0.125111 for C = 5.000000e+01, gamma = 5.000000e-07 
EER = 0.139993 for C = 5.000000e+01, gamma = 7.000000e-07 
EER = 0.149490 for C = 5.000000e+01, gamma = 9.000000e-07 
EER = 0.164087 for C = 5.000000e+01, gamma = 1.000000e-08 
EER = 0.178860 for C = 5.000000e+01, gamma = 3.000000e-08 
EER = 0.155997 for C = 5.000000e+01, gamma = 5.000000e-08 
EER = 0.140696 for C = 5.000000e+01, gamma = 7.000000e-08 
EER = 0.124340 for C = 5.000000e+01, gamma = 9.000000e-08 
EER = 0.164838 for C = 5.000000e+01, gamma = 1.000000e-09 
EER = 0.152387 for C = 5.000000e+01, gamma = 3.000000e-09 
EER = 0.152128 for C = 5.000000e+01, gamma = 5.000000e-09 
EER = 0.157130 for C = 5.000000e+01, gamma = 7.000000e-09 
EER = 0.164245 for C = 5.000000e+01, gamma = 9.000000e-09 
EER = 0.232434 for C = 5.000000e+01, gamma = 1.000000e-10 
EER = 0.191699 for C = 5.000000e+01, gamma = 3.000000e-10 
EER = 0.176401 for C = 5.000000e+01, gamma = 5.000000e-10 
EER = 0.172881 for C = 5.000000e+01, gamma = 7.000000e-10 
EER = 0.166321 for C = 5.000000e+01, gamma = 9.000000e-10 
EER = 0.269790 for C = 5.000000e+01, gamma = 1.000000e-11 
EER = 0.275422 for C = 5.000000e+01, gamma = 3.000000e-11 
EER = 0.252594 for C = 5.000000e+01, gamma = 5.000000e-11 
EER = 0.239549 for C = 5.000000e+01, gamma = 7.000000e-11 
EER = 0.233027 for C = 5.000000e+01, gamma = 9.000000e-11 
