EER = 0.045360 for C = 5.000000e+01, gamma = 3.000000e-07 
EER = 0.041210 for C = 5.000000e+01, gamma = 5.000000e-07 
EER = 0.042099 for C = 5.000000e+01, gamma = 7.000000e-07 
EER = 0.047139 for C = 5.000000e+01, gamma = 9.000000e-07 
EER = 0.029647 for C = 5.000000e+01, gamma = 1.000000e-08 
EER = 0.040024 for C = 5.000000e+01, gamma = 3.000000e-08 
EER = 0.054254 for C = 5.000000e+01, gamma = 5.000000e-08 
EER = 0.071450 for C = 5.000000e+01, gamma = 7.000000e-08 
EER = 0.085680 for C = 5.000000e+01, gamma = 9.000000e-08 
EER = 0.025793 for C = 5.000000e+01, gamma = 1.000000e-09 
EER = 0.016602 for C = 5.000000e+01, gamma = 3.000000e-09 
EER = 0.021939 for C = 5.000000e+01, gamma = 5.000000e-09 
EER = 0.026090 for C = 5.000000e+01, gamma = 7.000000e-09 
EER = 0.029351 for C = 5.000000e+01, gamma = 9.000000e-09 
EER = 0.137859 for C = 5.000000e+01, gamma = 1.000000e-10 
EER = 0.083309 for C = 5.000000e+01, gamma = 3.000000e-10 
EER = 0.054847 for C = 5.000000e+01, gamma = 5.000000e-10 
EER = 0.037059 for C = 5.000000e+01, gamma = 7.000000e-10 
EER = 0.029647 for C = 5.000000e+01, gamma = 9.000000e-10 
EER = 0.196561 for C = 5.000000e+01, gamma = 1.000000e-11 
EER = 0.168396 for C = 5.000000e+01, gamma = 3.000000e-11 
EER = 0.157723 for C = 5.000000e+01, gamma = 5.000000e-11 
EER = 0.149718 for C = 5.000000e+01, gamma = 7.000000e-11 
EER = 0.142307 for C = 5.000000e+01, gamma = 9.000000e-11 
EER = 0.055737 for C = 7.000000e+01, gamma = 1.000000e-06 
EER = 0.125704 for C = 7.000000e+01, gamma = 3.000000e-06 
EER = 0.199229 for C = 7.000000e+01, gamma = 5.000000e-06 
EER = 0.265342 for C = 7.000000e+01, gamma = 7.000000e-06 
EER = 0.300623 for C = 7.000000e+01, gamma = 9.000000e-06 
EER = 0.080047 for C = 7.000000e+01, gamma = 1.000000e-07 
EER = 0.038245 for C = 7.000000e+01, gamma = 3.000000e-07 
EER = 0.035577 for C = 7.000000e+01, gamma = 5.000000e-07 
EER = 0.040320 for C = 7.000000e+01, gamma = 7.000000e-07 
EER = 0.051290 for C = 7.000000e+01, gamma = 9.000000e-07 
EER = 0.033205 for C = 7.000000e+01, gamma = 1.000000e-08 
EER = 0.044471 for C = 7.000000e+01, gamma = 3.000000e-08 
EER = 0.075897 for C = 7.000000e+01, gamma = 5.000000e-08 
EER = 0.088645 for C = 7.000000e+01, gamma = 7.000000e-08 
EER = 0.083012 for C = 7.000000e+01, gamma = 9.000000e-08 
EER = 0.019567 for C = 7.000000e+01, gamma = 1.000000e-09 
EER = 0.018678 for C = 7.000000e+01, gamma = 3.000000e-09 
EER = 0.026682 for C = 7.000000e+01, gamma = 5.000000e-09 
EER = 0.029054 for C = 7.000000e+01, gamma = 7.000000e-09 
EER = 0.030537 for C = 7.000000e+01, gamma = 9.000000e-09 
EER = 0.122443 for C = 7.000000e+01, gamma = 1.000000e-10 
EER = 0.064334 for C = 7.000000e+01, gamma = 3.000000e-10 
EER = 0.037059 for C = 7.000000e+01, gamma = 5.000000e-10 
EER = 0.025793 for C = 7.000000e+01, gamma = 7.000000e-10 
EER = 0.020753 for C = 7.000000e+01, gamma = 9.000000e-10 
EER = 0.189446 for C = 7.000000e+01, gamma = 1.000000e-11 
EER = 0.160688 for C = 7.000000e+01, gamma = 3.000000e-11 
EER = 0.149718 for C = 7.000000e+01, gamma = 5.000000e-11 
EER = 0.138452 for C = 7.000000e+01, gamma = 7.000000e-11 
EER = 0.127779 for C = 7.000000e+01, gamma = 9.000000e-11 
EER = 0.055737 for C = 9.000000e+01, gamma = 1.000000e-06 
EER = 0.125704 for C = 9.000000e+01, gamma = 3.000000e-06 
EER = 0.199229 for C = 9.000000e+01, gamma = 5.000000e-06 
EER = 0.265342 for C = 9.000000e+01, gamma = 7.000000e-06 
EER = 0.300623 for C = 9.000000e+01, gamma = 9.000000e-06 
EER = 0.080047 for C = 9.000000e+01, gamma = 1.000000e-07 
EER = 0.034391 for C = 9.000000e+01, gamma = 3.000000e-07 
EER = 0.033205 for C = 9.000000e+01, gamma = 5.000000e-07 
EER = 0.042988 for C = 9.000000e+01, gamma = 7.000000e-07 
EER = 0.051290 for C = 9.000000e+01, gamma = 9.000000e-07 
EER = 0.034984 for C = 9.000000e+01, gamma = 1.000000e-08 
EER = 0.044767 for C = 9.000000e+01, gamma = 3.000000e-08 
EER = 0.069078 for C = 9.000000e+01, gamma = 5.000000e-08 
EER = 0.088942 for C = 9.000000e+01, gamma = 7.000000e-08 
EER = 0.080344 for C = 9.000000e+01, gamma = 9.000000e-08 
EER = 0.018381 for C = 9.000000e+01, gamma = 1.000000e-09 
EER = 0.023125 for C = 9.000000e+01, gamma = 3.000000e-09 
EER = 0.029351 for C = 9.000000e+01, gamma = 5.000000e-09 
EER = 0.029944 for C = 9.000000e+01, gamma = 7.000000e-09 
EER = 0.034094 for C = 9.000000e+01, gamma = 9.000000e-09 
EER = 0.109695 for C = 9.000000e+01, gamma = 1.000000e-10 
EER = 0.050104 for C = 9.000000e+01, gamma = 3.000000e-10 
EER = 0.029647 for C = 9.000000e+01, gamma = 5.000000e-10 
EER = 0.020753 for C = 9.000000e+01, gamma = 7.000000e-10 
EER = 0.018381 for C = 9.000000e+01, gamma = 9.000000e-10 
EER = 0.184109 for C = 9.000000e+01, gamma = 1.000000e-11 
EER = 0.155648 for C = 9.000000e+01, gamma = 3.000000e-11 
EER = 0.142307 for C = 9.000000e+01, gamma = 5.000000e-11 
EER = 0.127779 for C = 9.000000e+01, gamma = 7.000000e-11 
EER = 0.114735 for C = 9.000000e+01, gamma = 9.000000e-11 
EER = 0.055737 for C = 1.000000e+02, gamma = 1.000000e-06 
EER = 0.125704 for C = 1.000000e+02, gamma = 3.000000e-06 
EER = 0.199229 for C = 1.000000e+02, gamma = 5.000000e-06 
EER = 0.265342 for C = 1.000000e+02, gamma = 7.000000e-06 
EER = 0.300623 for C = 1.000000e+02, gamma = 9.000000e-06 
EER = 0.082716 for C = 1.000000e+02, gamma = 1.000000e-07 
EER = 0.032612 for C = 1.000000e+02, gamma = 3.000000e-07 
EER = 0.031130 for C = 1.000000e+02, gamma = 5.000000e-07 
EER = 0.043878 for C = 1.000000e+02, gamma = 7.000000e-07 
EER = 0.051290 for C = 1.000000e+02, gamma = 9.000000e-07 
EER = 0.036466 for C = 1.000000e+02, gamma = 1.000000e-08 
EER = 0.048918 for C = 1.000000e+02, gamma = 3.000000e-08 
EER = 0.076786 for C = 1.000000e+02, gamma = 5.000000e-08 
EER = 0.085384 for C = 1.000000e+02, gamma = 7.000000e-08 
EER = 0.081826 for C = 1.000000e+02, gamma = 9.000000e-08 
EER = 0.016899 for C = 1.000000e+02, gamma = 1.000000e-09 
EER = 0.024311 for C = 1.000000e+02, gamma = 3.000000e-09 
EER = 0.030240 for C = 1.000000e+02, gamma = 5.000000e-09 
EER = 0.032019 for C = 1.000000e+02, gamma = 7.000000e-09 
EER = 0.034391 for C = 1.000000e+02, gamma = 9.000000e-09 
EER = 0.104358 for C = 1.000000e+02, gamma = 1.000000e-10 
EER = 0.044174 for C = 1.000000e+02, gamma = 3.000000e-10 
EER = 0.025793 for C = 1.000000e+02, gamma = 5.000000e-10 
EER = 0.019567 for C = 1.000000e+02, gamma = 7.000000e-10 
EER = 0.018381 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.180551 for C = 1.000000e+02, gamma = 1.000000e-11 
EER = 0.153572 for C = 1.000000e+02, gamma = 3.000000e-11 
EER = 0.137563 for C = 1.000000e+02, gamma = 5.000000e-11 
EER = 0.122443 for C = 1.000000e+02, gamma = 7.000000e-11 
EER = 0.109695 for C = 1.000000e+02, gamma = 9.000000e-11 
EER = 0.055737 for C = 3.000000e+02, gamma = 1.000000e-06 
EER = 0.125704 for C = 3.000000e+02, gamma = 3.000000e-06 
EER = 0.199229 for C = 3.000000e+02, gamma = 5.000000e-06 
EER = 0.265342 for C = 3.000000e+02, gamma = 7.000000e-06 
EER = 0.300623 for C = 3.000000e+02, gamma = 9.000000e-06 
EER = 0.039727 for C = 3.000000e+02, gamma = 1.000000e-07 
EER = 0.022828 for C = 3.000000e+02, gamma = 3.000000e-07 
EER = 0.033205 for C = 3.000000e+02, gamma = 5.000000e-07 
EER = 0.043878 for C = 3.000000e+02, gamma = 7.000000e-07 
EER = 0.051290 for C = 3.000000e+02, gamma = 9.000000e-07 
EER = 0.037948 for C = 3.000000e+02, gamma = 1.000000e-08 
EER = 0.110881 for C = 3.000000e+02, gamma = 3.000000e-08 
EER = 0.093092 for C = 3.000000e+02, gamma = 5.000000e-08 
EER = 0.064927 for C = 3.000000e+02, gamma = 7.000000e-08 
EER = 0.046546 for C = 3.000000e+02, gamma = 9.000000e-08 
EER = 0.024607 for C = 3.000000e+02, gamma = 1.000000e-09 
EER = 0.037355 for C = 3.000000e+02, gamma = 3.000000e-09 
EER = 0.040024 for C = 3.000000e+02, gamma = 5.000000e-09 
EER = 0.037948 for C = 3.000000e+02, gamma = 7.000000e-09 
EER = 0.037355 for C = 3.000000e+02, gamma = 9.000000e-09 
EER = 0.044174 for C = 3.000000e+02, gamma = 1.000000e-10 
EER = 0.018381 for C = 3.000000e+02, gamma = 3.000000e-10 
EER = 0.016602 for C = 3.000000e+02, gamma = 5.000000e-10 
EER = 0.019271 for C = 3.000000e+02, gamma = 7.000000e-10 
EER = 0.024014 for C = 3.000000e+02, gamma = 9.000000e-10 
EER = 0.153572 for C = 3.000000e+02, gamma = 1.000000e-11 
EER = 0.109695 for C = 3.000000e+02, gamma = 3.000000e-11 
EER = 0.083309 for C = 3.000000e+02, gamma = 5.000000e-11 
EER = 0.064334 for C = 3.000000e+02, gamma = 7.000000e-11 
EER = 0.050697 for C = 3.000000e+02, gamma = 9.000000e-11 
EER = 0.055737 for C = 5.000000e+02, gamma = 1.000000e-06 
EER = 0.125704 for C = 5.000000e+02, gamma = 3.000000e-06 
EER = 0.199229 for C = 5.000000e+02, gamma = 5.000000e-06 
EER = 0.265342 for C = 5.000000e+02, gamma = 7.000000e-06 
EER = 0.300623 for C = 5.000000e+02, gamma = 9.000000e-06 
EER = 0.021642 for C = 5.000000e+02, gamma = 1.000000e-07 
