EER = 0.299437 for C = 5.000000e+01, gamma = 3.000000e-08 
EER = 0.258524 for C = 5.000000e+01, gamma = 5.000000e-08 
EER = 0.240439 for C = 5.000000e+01, gamma = 7.000000e-08 
EER = 0.226505 for C = 5.000000e+01, gamma = 9.000000e-08 
EER = 0.512897 for C = 5.000000e+01, gamma = 1.000000e-09 
EER = 0.452120 for C = 5.000000e+01, gamma = 3.000000e-09 
EER = 0.383931 for C = 5.000000e+01, gamma = 5.000000e-09 
EER = 0.370886 for C = 5.000000e+01, gamma = 7.000000e-09 
EER = 0.359324 for C = 5.000000e+01, gamma = 9.000000e-09 
EER = 0.496591 for C = 5.000000e+01, gamma = 1.000000e-10 
EER = 0.517344 for C = 5.000000e+01, gamma = 3.000000e-10 
EER = 0.520605 for C = 5.000000e+01, gamma = 5.000000e-10 
EER = 0.517640 for C = 5.000000e+01, gamma = 7.000000e-10 
EER = 0.516158 for C = 5.000000e+01, gamma = 9.000000e-10 
EER = 0.530388 for C = 5.000000e+01, gamma = 1.000000e-11 
EER = 0.513489 for C = 5.000000e+01, gamma = 3.000000e-11 
EER = 0.501334 for C = 5.000000e+01, gamma = 5.000000e-11 
EER = 0.497184 for C = 5.000000e+01, gamma = 7.000000e-11 
EER = 0.497184 for C = 5.000000e+01, gamma = 9.000000e-11 
EER = 0.412985 for C = 7.000000e+01, gamma = 1.000000e-06 
EER = 0.530388 for C = 7.000000e+01, gamma = 3.000000e-06 
EER = 0.573080 for C = 7.000000e+01, gamma = 5.000000e-06 
EER = 0.606285 for C = 7.000000e+01, gamma = 7.000000e-06 
EER = 0.638008 for C = 7.000000e+01, gamma = 9.000000e-06 
EER = 0.233027 for C = 7.000000e+01, gamma = 1.000000e-07 
EER = 0.247258 for C = 7.000000e+01, gamma = 3.000000e-07 
EER = 0.302994 for C = 7.000000e+01, gamma = 5.000000e-07 
EER = 0.357249 for C = 7.000000e+01, gamma = 7.000000e-07 
EER = 0.396087 for C = 7.000000e+01, gamma = 9.000000e-07 
EER = 0.333531 for C = 7.000000e+01, gamma = 1.000000e-08 
EER = 0.257931 for C = 7.000000e+01, gamma = 3.000000e-08 
EER = 0.237474 for C = 7.000000e+01, gamma = 5.000000e-08 
EER = 0.229173 for C = 7.000000e+01, gamma = 7.000000e-08 
EER = 0.231248 for C = 7.000000e+01, gamma = 9.000000e-08 
EER = 0.492736 for C = 7.000000e+01, gamma = 1.000000e-09 
EER = 0.407353 for C = 7.000000e+01, gamma = 3.000000e-09 
EER = 0.370886 for C = 7.000000e+01, gamma = 5.000000e-09 
EER = 0.358731 for C = 7.000000e+01, gamma = 7.000000e-09 
EER = 0.340943 for C = 7.000000e+01, gamma = 9.000000e-09 
EER = 0.499555 for C = 7.000000e+01, gamma = 1.000000e-10 
EER = 0.522680 for C = 7.000000e+01, gamma = 3.000000e-10 
EER = 0.517640 for C = 7.000000e+01, gamma = 5.000000e-10 
EER = 0.513786 for C = 7.000000e+01, gamma = 7.000000e-10 
EER = 0.498962 for C = 7.000000e+01, gamma = 9.000000e-10 
EER = 0.529499 for C = 7.000000e+01, gamma = 1.000000e-11 
EER = 0.504595 for C = 7.000000e+01, gamma = 3.000000e-11 
EER = 0.497184 for C = 7.000000e+01, gamma = 5.000000e-11 
EER = 0.496887 for C = 7.000000e+01, gamma = 7.000000e-11 
EER = 0.498369 for C = 7.000000e+01, gamma = 9.000000e-11 
EER = 0.412985 for C = 9.000000e+01, gamma = 1.000000e-06 
EER = 0.530388 for C = 9.000000e+01, gamma = 3.000000e-06 
EER = 0.573080 for C = 9.000000e+01, gamma = 5.000000e-06 
EER = 0.606285 for C = 9.000000e+01, gamma = 7.000000e-06 
EER = 0.638008 for C = 9.000000e+01, gamma = 9.000000e-06 
EER = 0.240439 for C = 9.000000e+01, gamma = 1.000000e-07 
EER = 0.257931 for C = 9.000000e+01, gamma = 3.000000e-07 
EER = 0.302994 for C = 9.000000e+01, gamma = 5.000000e-07 
EER = 0.357249 for C = 9.000000e+01, gamma = 7.000000e-07 
EER = 0.396087 for C = 9.000000e+01, gamma = 9.000000e-07 
EER = 0.336199 for C = 9.000000e+01, gamma = 1.000000e-08 
EER = 0.258227 for C = 9.000000e+01, gamma = 3.000000e-08 
EER = 0.239846 for C = 9.000000e+01, gamma = 5.000000e-08 
EER = 0.228876 for C = 9.000000e+01, gamma = 7.000000e-08 
EER = 0.242514 for C = 9.000000e+01, gamma = 9.000000e-08 
EER = 0.478802 for C = 9.000000e+01, gamma = 1.000000e-09 
EER = 0.377409 for C = 9.000000e+01, gamma = 3.000000e-09 
EER = 0.358435 for C = 9.000000e+01, gamma = 5.000000e-09 
EER = 0.340350 for C = 9.000000e+01, gamma = 7.000000e-09 
EER = 0.333531 for C = 9.000000e+01, gamma = 9.000000e-09 
EER = 0.501334 for C = 9.000000e+01, gamma = 1.000000e-10 
EER = 0.520012 for C = 9.000000e+01, gamma = 3.000000e-10 
EER = 0.516158 for C = 9.000000e+01, gamma = 5.000000e-10 
EER = 0.498962 for C = 9.000000e+01, gamma = 7.000000e-10 
EER = 0.484732 for C = 9.000000e+01, gamma = 9.000000e-10 
EER = 0.524162 for C = 9.000000e+01, gamma = 1.000000e-11 
EER = 0.499852 for C = 9.000000e+01, gamma = 3.000000e-11 
EER = 0.497184 for C = 9.000000e+01, gamma = 5.000000e-11 
EER = 0.498369 for C = 9.000000e+01, gamma = 7.000000e-11 
EER = 0.499555 for C = 9.000000e+01, gamma = 9.000000e-11 
EER = 0.412985 for C = 1.000000e+02, gamma = 1.000000e-06 
EER = 0.530388 for C = 1.000000e+02, gamma = 3.000000e-06 
EER = 0.573080 for C = 1.000000e+02, gamma = 5.000000e-06 
EER = 0.606285 for C = 1.000000e+02, gamma = 7.000000e-06 
EER = 0.638008 for C = 1.000000e+02, gamma = 9.000000e-06 
EER = 0.239846 for C = 1.000000e+02, gamma = 1.000000e-07 
EER = 0.259117 for C = 1.000000e+02, gamma = 3.000000e-07 
EER = 0.302994 for C = 1.000000e+02, gamma = 5.000000e-07 
EER = 0.357249 for C = 1.000000e+02, gamma = 7.000000e-07 
EER = 0.396087 for C = 1.000000e+02, gamma = 9.000000e-07 
EER = 0.336199 for C = 1.000000e+02, gamma = 1.000000e-08 
EER = 0.254669 for C = 1.000000e+02, gamma = 3.000000e-08 
EER = 0.237771 for C = 1.000000e+02, gamma = 5.000000e-08 
EER = 0.235695 for C = 1.000000e+02, gamma = 7.000000e-08 
EER = 0.241921 for C = 1.000000e+02, gamma = 9.000000e-08 
EER = 0.468722 for C = 1.000000e+02, gamma = 1.000000e-09 
EER = 0.372369 for C = 1.000000e+02, gamma = 3.000000e-09 
EER = 0.358435 for C = 1.000000e+02, gamma = 5.000000e-09 
EER = 0.332345 for C = 1.000000e+02, gamma = 7.000000e-09 
EER = 0.334124 for C = 1.000000e+02, gamma = 9.000000e-09 
EER = 0.506078 for C = 1.000000e+02, gamma = 1.000000e-10 
EER = 0.518529 for C = 1.000000e+02, gamma = 3.000000e-10 
EER = 0.512897 for C = 1.000000e+02, gamma = 5.000000e-10 
EER = 0.492736 for C = 1.000000e+02, gamma = 7.000000e-10 
EER = 0.478802 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.522977 for C = 1.000000e+02, gamma = 1.000000e-11 
EER = 0.496887 for C = 1.000000e+02, gamma = 3.000000e-11 
