EER = 0.067003 for C = 9.000000e+01, gamma = 9.000000e-10 
EER = 0.064631 for C = 9.000000e+01, gamma = 1.000000e-11 
EER = 0.033501 for C = 9.000000e+01, gamma = 3.000000e-11 
EER = 0.029944 for C = 9.000000e+01, gamma = 5.000000e-11 
EER = 0.030537 for C = 9.000000e+01, gamma = 7.000000e-11 
EER = 0.032315 for C = 9.000000e+01, gamma = 9.000000e-11 
EER = 0.297658 for C = 1.000000e+02, gamma = 1.000000e-06 
EER = 0.245775 for C = 1.000000e+02, gamma = 3.000000e-06 
EER = 0.226801 for C = 1.000000e+02, gamma = 5.000000e-06 
EER = 0.232434 for C = 1.000000e+02, gamma = 7.000000e-06 
EER = 0.249629 for C = 1.000000e+02, gamma = 9.000000e-06 
EER = 0.179958 for C = 1.000000e+02, gamma = 1.000000e-07 
EER = 0.254669 for C = 1.000000e+02, gamma = 3.000000e-07 
EER = 0.274830 for C = 1.000000e+02, gamma = 5.000000e-07 
EER = 0.287281 for C = 1.000000e+02, gamma = 7.000000e-07 
EER = 0.294990 for C = 1.000000e+02, gamma = 9.000000e-07 
EER = 0.164245 for C = 1.000000e+02, gamma = 1.000000e-08 
EER = 0.172547 for C = 1.000000e+02, gamma = 3.000000e-08 
EER = 0.176401 for C = 1.000000e+02, gamma = 5.000000e-08 
EER = 0.172843 for C = 1.000000e+02, gamma = 7.000000e-08 
EER = 0.177587 for C = 1.000000e+02, gamma = 9.000000e-08 
EER = 0.068485 for C = 1.000000e+02, gamma = 1.000000e-09 
EER = 0.076193 for C = 1.000000e+02, gamma = 3.000000e-09 
EER = 0.075897 for C = 1.000000e+02, gamma = 5.000000e-09 
EER = 0.159205 for C = 1.000000e+02, gamma = 7.000000e-09 
EER = 0.163060 for C = 1.000000e+02, gamma = 9.000000e-09 
EER = 0.035577 for C = 1.000000e+02, gamma = 1.000000e-10 
EER = 0.054551 for C = 1.000000e+02, gamma = 3.000000e-10 
EER = 0.060777 for C = 1.000000e+02, gamma = 5.000000e-10 
EER = 0.064927 for C = 1.000000e+02, gamma = 7.000000e-10 
