EER = 0.351912 for C = 9.000000e+01, gamma = 5.000000e-08 
EER = 0.391488 for C = 9.000000e+01, gamma = 7.000000e-08 
EER = 0.407140 for C = 9.000000e+01, gamma = 9.000000e-08 
EER = 0.038245 for C = 9.000000e+01, gamma = 1.000000e-09 
EER = 0.082483 for C = 9.000000e+01, gamma = 3.000000e-09 
EER = 0.152683 for C = 9.000000e+01, gamma = 5.000000e-09 
EER = 0.159205 for C = 9.000000e+01, gamma = 7.000000e-09 
EER = 0.176104 for C = 9.000000e+01, gamma = 9.000000e-09 
EER = 0.038245 for C = 9.000000e+01, gamma = 1.000000e-10 
EER = 0.029370 for C = 9.000000e+01, gamma = 3.000000e-10 
EER = 0.030537 for C = 9.000000e+01, gamma = 5.000000e-10 
EER = 0.033240 for C = 9.000000e+01, gamma = 7.000000e-10 
EER = 0.037059 for C = 9.000000e+01, gamma = 9.000000e-10 
EER = 0.044847 for C = 9.000000e+01, gamma = 1.000000e-11 
EER = 0.044847 for C = 9.000000e+01, gamma = 3.000000e-11 
EER = 0.044847 for C = 9.000000e+01, gamma = 5.000000e-11 
EER = 0.043616 for C = 9.000000e+01, gamma = 7.000000e-11 
EER = 0.038541 for C = 9.000000e+01, gamma = 9.000000e-11 
EER = 0.364364 for C = 1.000000e+02, gamma = 1.000000e-06 
EER = 0.302698 for C = 1.000000e+02, gamma = 3.000000e-06 
EER = 0.239846 for C = 1.000000e+02, gamma = 5.000000e-06 
EER = 0.199229 for C = 1.000000e+02, gamma = 7.000000e-06 
EER = 0.179069 for C = 1.000000e+02, gamma = 9.000000e-06 
EER = 0.405733 for C = 1.000000e+02, gamma = 1.000000e-07 
EER = 0.426623 for C = 1.000000e+02, gamma = 3.000000e-07 
EER = 0.424024 for C = 1.000000e+02, gamma = 5.000000e-07 
EER = 0.407945 for C = 1.000000e+02, gamma = 7.000000e-07 
EER = 0.376539 for C = 1.000000e+02, gamma = 9.000000e-07 
EER = 0.195079 for C = 1.000000e+02, gamma = 1.000000e-08 
EER = 0.282241 for C = 1.000000e+02, gamma = 3.000000e-08 
EER = 0.369152 for C = 1.000000e+02, gamma = 5.000000e-08 
EER = 0.399644 for C = 1.000000e+02, gamma = 7.000000e-08 
EER = 0.406261 for C = 1.000000e+02, gamma = 9.000000e-08 
